sample_id,site_name,latitude,longitude,age_BP,richness,shannon_H,evenness,openness,pollen_sum,roc_chord
518696,Lake Skogstjern,59.00694,9.63833,1195.96,10.0,2.018893213278906,0.8767941820789537,0.047954866008462625,100.00000000000001,0.13412249133951956
518699,Lake Skogstjern,59.00694,9.63833,1233.333,12.0,2.200452792237394,0.88552734664102,0.08160442600276625,100.0,0.3461714349549911
518700,Lake Skogstjern,59.00694,9.63833,1270.707,12.0,2.034498175400357,0.8187422958419505,0.04353562005277046,100.00000000000006,0.444390785003793
518697,Lake Skogstjern,59.00694,9.63833,1308.081,16.0,2.1629511496362888,0.780119724316339,0.06158357771260997,100.00000000000003,0.2822844891097081
518698,Lake Skogstjern,59.00694,9.63833,1345.455,14.0,2.1397286541470617,0.8107927895825618,0.04297994269340973,100.00000000000003,0.10732562176980404
518702,Lake Skogstjern,59.00694,9.63833,1382.828,13.0,2.1466587457864867,0.8369205183493287,0.03827751196172248,100.00000000000004,0.21296178278291933
518703,Lake Skogstjern,59.00694,9.63833,1420.202,9.0,1.9043343019504142,0.8666998911231516,0.034806822137138885,100.00000000000006,0.266012741361264
518701,Lake Skogstjern,59.00694,9.63833,1457.576,9.0,1.904883583603118,0.8669498799765303,0.06622516556291391,99.99999999999996,0.24283382037581858
518704,Lake Skogstjern,59.00694,9.63833,1494.949,13.0,2.1183769692352565,0.8258942669073821,0.08054711246200609,100.00000000000006,0.25183784333691844
518705,Lake Skogstjern,59.00694,9.63833,1532.323,16.0,2.1781321838032044,0.7855951249933828,0.08662613981762916,100.00000000000003,0.13432490099211644
518706,Lake Skogstjern,59.00694,9.63833,1569.697,14.0,2.313765961192273,0.8767395597008842,0.11559139784946233,99.99999999999994,0.3776960322132471
518707,Lake Skogstjern,59.00694,9.63833,1607.071,14.0,2.2853641207444255,0.8659774439525355,0.09221902017291064,99.99999999999996,0.15232615181909653
518709,Lake Skogstjern,59.00694,9.63833,1644.444,10.0,2.13954745364572,0.9291936528884895,0.09612817089452606,100.0,0.2132275642378798
518708,Lake Skogstjern,59.00694,9.63833,1681.818,11.0,2.012903028934672,0.8394457638617352,0.06871345029239766,100.00000000000001,0.23141240922978024
518710,Lake Skogstjern,59.00694,9.63833,1719.192,11.0,1.9346869173688293,0.8068271118075261,0.03529411764705883,100.00000000000001,0.16087857627043484
518711,Lake Skogstjern,59.00694,9.63833,1756.566,10.0,1.8546876893153208,0.8054806291235365,0.06626506024096386,100.00000000000001,0.30976202056865737
518712,Lake Skogstjern,59.00694,9.63833,1793.939,11.0,1.9569337741672714,0.8161047716998532,0.06875,100.00000000000001,0.14931368423012975
518713,Lake Skogstjern,59.00694,9.63833,1831.313,12.0,2.1134601186573767,0.8505189194280945,0.10058309037900875,100.00000000000003,0.15606612788623433
518714,Lake Skogstjern,59.00694,9.63833,1868.472,11.0,1.8924537585805892,0.7892145166006664,0.025333333333333333,100.0,0.4289031613205103
518715,Lake Skogstjern,59.00694,9.63833,1905.417,12.0,1.8239975090821952,0.7340305959734179,0.009776536312849162,99.99999999999997,0.3669996447579993
